leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",2.6 mi,58 mins,2.9 mi,9 mins,4.4,11:00AM-11:50PM,True,n/a,drive
2,Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, USA",6.9 mi,2 hours 35 mins,8.6 mi,18 mins,5.0,1:59PM-4:59AM,n/a,n/a,drive
3,El Buenavista Food Truck,"5210 English Ave, Indianapolis, IN 46219, USA",Fast-Taco's,"6154 Michigan Rd, Indianapolis, IN 46228, USA",11.8 mi,4 hours 22 mins,13.1 mi,24 mins,4.4,7:00PM-1:00AM,False,False,drive
4,Fast-Taco's,"6154 Michigan Rd, Indianapolis, IN 46228, USA",Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",8.5 mi,3 hours 6 mins,9.0 mi,21 mins,5.0,6:00PM-12:00AM,n/a,n/a,drive
5,Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",2.3 mi,51 mins,2.6 mi,9 mins,n/a,-,-,-,drive
