leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",1.9 mi,43 mins,2.2 mi,11 mins,4.7,10:00AM-10:00PM,True,n/a,drive
2,Gaucho's Fire Express,"906 Carrollton Ave Suite 320, Indianapolis, IN 46202, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",7.7 mi,2 hours 53 mins,11.3 mi,20 mins,4.7,6:00PM-12:00AM,True,n/a,drive
3,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",5.1 mi,1 hour 54 mins,5.2 mi,14 mins,5.0,6:00PM-12:00AM,n/a,n/a,drive
4,Tacos y tortas arroyo,"2120 W Morris St, Indianapolis, IN 46221, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",4.9 mi,1 hour 50 mins,4.6 mi,14 mins,4.5,5:00PM-1:00AM,False,False,drive
5,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,16 mins,n/a,-,-,-,drive
