leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",9.4 mi,3 hours 31 mins,9.3 mi,15 mins,5.0,10:00AM-11:00PM,n/a,n/a,drive
2,King Gyro Food Truck- Emerson Avenue,"7140 S Emerson Ave, Indianapolis, IN 46237, USA",big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, USA",5.8 mi,2 hours 7 mins,3.7 mi,9 mins,5.0,10:30AM-7:00PM,n/a,n/a,drive
3,big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",15.0 mi,5 hours 32 mins,20.7 mi,28 mins,4.5,5:00PM-1:00AM,False,False,drive
4,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",4.8 mi,1 hour 46 mins,5.3 mi,13 mins,4.7,6:00PM-12:00AM,n/a,n/a,drive
5,Tacos El Iturbidense,"6402 W 10th St, Indianapolis, IN 46214, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",6.9 mi,2 hours 32 mins,11.3 mi,16 mins,-,-,-,-,drive
