leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",10.2 mi,3 hours 48 mins,13.4 mi,20 mins,4.1,11:00AM-11:00PM,n/a,n/a,drive
2,The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, USA",King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",15.6 mi,5 hours 42 mins,16.9 mi,22 mins,4.7,10:30AM-1:00AM,False,False,drive
3,King gyros food truck,"4585 S Harding St, Indianapolis, IN 46217, USA",Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",8.5 mi,3 hours 8 mins,8.2 mi,13 mins,4.7,6:00PM-12:00AM,True,n/a,drive
4,Birrieria Iturbidense,"6302 W Washington St, Indianapolis, IN 46241, USA",Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",6.6 mi,2 hours 27 mins,9.2 mi,17 mins,4.5,5:00PM-1:00AM,False,False,drive
5,Pico de Gallo Food Truck,"3014 Lafayette Rd #3000, Indianapolis, IN 46222, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",5.5 mi,2 hours 2 mins,5.7 mi,16 mins,n/a,-,-,-,drive
