leg,start_location,start_address,end_location,end_address,walk_distance,walk_time,drive_distance,drive_time,end_location_rating,hours,serve_beer,serve_wine,method
1,Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",2.6 mi,58 mins,2.9 mi,9 mins,4.4,11:00AM-11:50PM,True,n/a,drive
2,Taqueria El Taco Loco,"2705 W Washington St, Indianapolis, IN 46222, USA",Kone Heads FoodTruck,"7260 Michigan Rd, Indianapolis, IN 46268, USA",8.9 mi,3 hours 17 mins,9.6 mi,22 mins,5.0,12:00PM-9:00PM,n/a,n/a,drive
3,Kone Heads FoodTruck,"7260 Michigan Rd, Indianapolis, IN 46268, USA",Food truck,"8801 E 25th St, Indianapolis, IN 46219, USA",14.8 mi,5 hours 29 mins,17.6 mi,26 mins,5.0,12:00PM-11:00PM,n/a,n/a,drive
4,Food truck,"8801 E 25th St, Indianapolis, IN 46219, USA",Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",13.8 mi,5 hours 4 mins,15.8 mi,21 mins,4.5,6:00PM-2:00AM,False,False,drive
5,Restaurante Oaxaca,"5101 W 38th St, Indianapolis, IN 46254, USA",Indianapolis Bus Station,"350 S Illinois St, Indianapolis, IN 46225, USA",7.4 mi,2 hours 43 mins,8.3 mi,16 mins,-,-,-,-,drive
